entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
P42338	PK3CB_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.153	PIK3CB	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
P45985	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	Homo sapiens (Human)	2.7.12.2	MAP2K4	ATP binding [GO:0005524]; JUN kinase kinase activity [GO:0008545]; MAP kinase kinase activity [GO:0004708]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Dual specificity mitogen-activated protein kinase kinase 4
P43114	PE2R4_RAT	Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		Ptger4	prostaglandin E receptor activity [GO:0004957]	Prostaglandin E2 receptor EP4 subtype
P42226	STAT6_HUMAN	Signal transducer and activator of transcription 6 (IL-4 Stat)	Transcription factor STAT family	Homo sapiens (Human)		STAT6	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; protein phosphatase binding [GO:0019903]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	Signal transducer and activator of transcription 6
P51159	RB27A_HUMAN	Ras-related protein Rab-27A (Rab-27) (EC 3.6.5.2) (GTP-binding protein Ram)	Small GTPase superfamily, Rab family	Homo sapiens (Human)	3.6.5.2	RAB27A	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; myosin V binding [GO:0031489]; protein domain specific binding [GO:0019904]	Ras-related protein Rab-27A
P51531	SMCA2_HUMAN	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	SNF2/RAD54 helicase family	Homo sapiens (Human)	3.6.4.-	SMARCA2	ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]; nucleosome-dependent ATPase activity [GO:0070615]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]	Probable global transcription activator SNF2L2
P51692	STA5B_HUMAN	Signal transducer and activator of transcription 5B	Transcription factor STAT family	Homo sapiens (Human)		STAT5B	chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	Signal transducer and activator of transcription 5B
P51160	PDE6C_HUMAN	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)	Cyclic nucleotide phosphodiesterase family	Homo sapiens (Human)	3.1.4.35	PDE6C	3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cGMP binding [GO:0030553]; metal ion binding [GO:0046872]	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'
P49810	PSN2_HUMAN	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	Peptidase A22A family	Homo sapiens (Human)	3.4.23.-	PSEN2	aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; endopeptidase activity [GO:0004175]	Presenilin-2
P51532	SMCA4_HUMAN	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	SNF2/RAD54 helicase family	Homo sapiens (Human)	3.6.4.-	SMARCA4	androgen receptor binding [GO:0050681]; ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA polymerase binding [GO:0070182]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; lysine-acetylated histone binding [GO:0070577]; nucleosome-dependent ATPase activity [GO:0070615]; p53 binding [GO:0002039]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; Tat protein binding [GO:0030957]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	Transcription activator BRG1
P48776	T23O_MOUSE	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	Tryptophan 2,3-dioxygenase family	Mus musculus (Mouse)	1.13.11.11	Tdo2	amino acid binding [GO:0016597]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; tryptophan 2,3-dioxygenase activity [GO:0004833]	Tryptophan 2,3-dioxygenase
P51582	P2RY4_HUMAN	P2Y purinoceptor 4 (P2Y4) (P2P) (Uridine nucleotide receptor) (UNR)	G-protein coupled receptor 1 family	Homo sapiens (Human)		P2RY4	ATP binding [GO:0005524]; G protein-coupled purinergic nucleotide receptor activity [GO:0045028]; G protein-coupled UTP receptor activity [GO:0045030]	P2Y purinoceptor 4
P51817	PRKX_HUMAN	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily	Homo sapiens (Human)	2.7.11.1	PRKX	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cAMP-dependent protein kinase catalytic subunit PRKX
P48303	S1PR1_RAT	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		S1pr1	G protein-coupled receptor activity [GO:0004930]; G protein-coupled receptor binding [GO:0001664]; sphingolipid binding [GO:0046625]; sphingosine-1-phosphate receptor activity [GO:0038036]	Sphingosine 1-phosphate receptor 1
P49743	RXRB_RAT	Retinoic acid receptor RXR-beta (Nuclear receptor coregulator 1) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta) (Fragment)	Nuclear hormone receptor family, NR2 subfamily	Rattus norvegicus (Rat)		Rxrb	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; nuclear receptor activity [GO:0004879]; nuclear receptor coactivator activity [GO:0030374]; protein-containing complex binding [GO:0044877]; retinoic acid receptor binding [GO:0042974]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; thyroid hormone receptor binding [GO:0046966]; transcription cis-regulatory region binding [GO:0000976]; vitamin D receptor binding [GO:0042809]; zinc ion binding [GO:0008270]	Retinoic acid receptor RXR-beta
P51512	MMP16_HUMAN	Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (MMP-X2) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP)	Peptidase M10A family	Homo sapiens (Human)	3.4.24.-	MMP16	enzyme activator activity [GO:0008047]; metalloaminopeptidase activity [GO:0070006]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	Matrix metalloproteinase-16
P49654	P2RX3_RAT	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	P2X receptor family	Rattus norvegicus (Rat)		P2rx3	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; purinergic nucleotide receptor activity [GO:0001614]	P2X purinoceptor 3
P49684	UR2R_RAT	Urotensin-2 receptor (UR-2-R) (G-protein coupled receptor 14) (G-protein coupled sensory epithelial neuropeptide-like receptor) (SENR) (Urotensin II receptor) (UR-II-R)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		Uts2r	G protein-coupled peptide receptor activity [GO:0008528]; urotensin II receptor activity [GO:0001604]	Urotensin-2 receptor
P52270	TPIS_TRYCR	Triosephosphate isomerase, glycosomal (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)	Triosephosphate isomerase family	Trypanosoma cruzi	5.3.1.1		triose-phosphate isomerase activity [GO:0004807]	Triosephosphate isomerase, glycosomal
P48974	V1BR_RAT	Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	Rattus norvegicus (Rat)		Avpr1b	G protein-coupled receptor activity [GO:0004930]; identical protein binding [GO:0042802]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; vasopressin receptor activity [GO:0005000]	Vasopressin V1b receptor
P50591	TNF10_HUMAN	Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253)	Tumor necrosis factor family	Homo sapiens (Human)		TNFSF10	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]; TRAIL binding [GO:0045569]; tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]	Tumor necrosis factor ligand superfamily member 10
P47989	XDH_HUMAN	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	Xanthine dehydrogenase family	Homo sapiens (Human)	1.17.1.4; 1.17.3.2	XDH	2 iron, 2 sulfur cluster binding [GO:0051537]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; hypoxanthine dehydrogenase activity [GO:0070674]; hypoxanthine oxidase activity [GO:0070675]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]	Xanthine dehydrogenase/oxidase
P51784	UBP11_HUMAN	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	Peptidase C19 family	Homo sapiens (Human)	3.4.19.12	USP11	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent deubiquitinase [GO:0004843]; transcription corepressor binding [GO:0001222]	Ubiquitin carboxyl-terminal hydrolase 11
P52633	STAT6_MOUSE	Signal transducer and transcription activator 6	Transcription factor STAT family	Mus musculus (Mouse)		Stat6	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; protein phosphatase binding [GO:0019903]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]	Signal transducer and transcription activator 6
P47901	V1BR_HUMAN	Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	Homo sapiens (Human)		AVPR1B	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; protein kinase C binding [GO:0005080]; vasopressin receptor activity [GO:0005000]	Vasopressin V1b receptor
P50637	TSPO_MOUSE	Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)	TspO/BZRP family	Mus musculus (Mouse)		Tspo	androgen binding [GO:0005497]; benzodiazepine receptor activity [GO:0008503]; cholesterol binding [GO:0015485]; transmembrane transporter binding [GO:0044325]	Translocator protein
P51575	P2RX1_HUMAN	P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor)	P2X receptor family	Homo sapiens (Human)		P2RX1	ATP binding [GO:0005524]; cation channel activity [GO:0005261]; extracellularly ATP-gated cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; purinergic nucleotide receptor activity [GO:0001614]	P2X purinoceptor 1
P51577	P2RX4_RAT	P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor)	P2X receptor family	Rattus norvegicus (Rat)		P2rx4	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; copper ion binding [GO:0005507]; extracellularly ATP-gated cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; ligand-gated calcium channel activity [GO:0099604]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; zinc ion binding [GO:0008270]	P2X purinoceptor 4
P49616	UPAR_RAT	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (CD antigen CD87)		Rattus norvegicus (Rat)		Plaur	enzyme binding [GO:0019899]; protein domain specific binding [GO:0019904]; signaling receptor binding [GO:0005102]; urokinase plasminogen activator receptor activity [GO:0030377]	Urokinase plasminogen activator surface receptor
P52663	BLAN_ENTCL	Imipenem-hydrolyzing beta-lactamase (EC 3.5.2.6) (Carbapenemase) (NMC-A)	Class-A beta-lactamase family	Enterobacter cloacae	3.5.2.6	nmcA	beta-lactamase activity [GO:0008800]	Imipenem-hydrolyzing beta-lactamase
P50747	BPL1_HUMAN	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	Biotin--protein ligase family	Homo sapiens (Human)	6.3.4.-; 6.3.4.9; 6.3.4.10; 6.3.4.11; 6.3.4.15	HLCS	ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity [GO:0004078]; biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity [GO:0004079]; biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity [GO:0004080]; biotin binding [GO:0009374]; biotin-protein ligase activity [GO:0018271]; enzyme binding [GO:0019899]	Biotin--protein ligase
P51813	BMX_HUMAN	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily	Homo sapiens (Human)	2.7.10.2	BMX	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Cytoplasmic tyrosine-protein kinase BMX
